--------------------------------------------------------------------------------
Process info Logger: Mon Jun 10 13:40:24 2024
--------------------------------------------------------------------------------
log created at EveryMinutes{'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'pid': 0}
{'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System', 'pid': 4}
{'username': None, 'name': '', 'pid': 140}
{'username': None, 'name': 'Registry', 'pid': 180}
{'username': None, 'name': 'smss.exe', 'pid': 660}
{'username': None, 'name': 'fontdrvhost.exe', 'pid': 676}
{'username': None, 'name': 'csrss.exe', 'pid': 696}
{'username': None, 'name': 'svchost.exe', 'pid': 736}
{'username': None, 'name': 'wininit.exe', 'pid': 1124}
{'username': None, 'name': 'services.exe', 'pid': 1268}
{'username': None, 'name': 'LsaIso.exe', 'pid': 1276}
{'username': None, 'name': 'lsass.exe', 'pid': 1300}
{'username': 'LAPTOP\\NAVNATH', 'name': 'SECOCL64.exe', 'pid': 1364}
{'username': 'LAPTOP\\NAVNATH', 'name': 'Code.exe', 'pid': 1420}
{'username': None, 'name': 'svchost.exe', 'pid': 1428}
{'username': None, 'name': 'fontdrvhost.exe', 'pid': 1460}
{'username': 'LAPTOP\\NAVNATH', 'name': 'unsecapp.exe', 'pid': 1516}
{'username': 'LAPTOP\\NAVNATH', 'name': 'Code.exe', 'pid': 1544}
{'username': None, 'name': 'svchost.exe', 'pid': 1568}
{'username': None, 'name': 'svchost.exe', 'pid': 1612}
{'username': None, 'name': 'svchost.exe', 'pid': 1784}
{'username': None, 'name': 'svchost.exe', 'pid': 1864}
{'username': None, 'name': 'svchost.exe', 'pid': 1872}
{'username': None, 'name': 'svchost.exe', 'pid': 1884}
{'username': None, 'name': 'svchost.exe', 'pid': 2036}
{'username': None, 'name': 'svchost.exe', 'pid': 2068}
{'username': None, 'name': 'svchost.exe', 'pid': 2080}
{'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe', 'pid': 2092}
{'username': None, 'name': 'svchost.exe', 'pid': 2120}
{'username': None, 'name': 'svchost.exe', 'pid': 2132}
{'username': 'LAPTOP\\NAVNATH', 'name': 'svchost.exe', 'pid': 2160}
{'username': 'LAPTOP\\NAVNATH', 'name': 'svchost.exe', 'pid': 2164}
{'username': None, 'name': 'svchost.exe', 'pid': 2244}
{'username': None, 'name': 'svchost.exe', 'pid': 2260}
{'username': None, 'name': 'MoUsoCoreWorker.exe', 'pid': 2264}
{'username': None, 'name': 'svchost.exe', 'pid': 2292}
{'username': None, 'name': 'svchost.exe', 'pid': 2488}
{'username': 'LAPTOP\\NAVNATH', 'name': 'brave.exe', 'pid': 2492}
{'username': None, 'name': 'svchost.exe', 'pid': 2500}
{'username': 'LAPTOP\\NAVNATH', 'name': 'RuntimeBroker.exe', 'pid': 2540}
{'username': 'LAPTOP\\NAVNATH', 'name': 'ctfmon.exe', 'pid': 2552}
{'username': 'LAPTOP\\NAVNATH', 'name': 'ApplicationFrameHost.exe', 'pid': 2708}
{'username': None, 'name': 'svchost.exe', 'pid': 2804}
{'username': None, 'name': 'svchost.exe', 'pid': 2840}
{'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe', 'pid': 2852}
{'username': None, 'name': 'svchost.exe', 'pid': 2872}
{'username': None, 'name': 'svchost.exe', 'pid': 2924}
{'username': None, 'name': 'svchost.exe', 'pid': 2964}
{'username': None, 'name': 'svchost.exe', 'pid': 2984}
{'username': None, 'name': 'OmenCap.exe', 'pid': 3004}
{'username': None, 'name': 'svchost.exe', 'pid': 3088}
{'username': None, 'name': 'NVDisplay.Container.exe', 'pid': 3096}
{'username': None, 'name': 'svchost.exe', 'pid': 3204}
{'username': None, 'name': 'svchost.exe', 'pid': 3244}
{'username': None, 'name': 'svchost.exe', 'pid': 3268}
{'username': None, 'name': 'svchost.exe', 'pid': 3320}
{'username': None, 'name': 'svchost.exe', 'pid': 3328}
{'username': None, 'name': 'svchost.exe', 'pid': 3336}
{'username': None, 'name': 'svchost.exe', 'pid': 3356}
{'username': None, 'name': 'MemCompression', 'pid': 3436}
{'username': None, 'name': 'svchost.exe', 'pid': 3472}
{'username': None, 'name': 'svchost.exe', 'pid': 3500}
{'username': None, 'name': 'svchost.exe', 'pid': 3572}
{'username': None, 'name': 'svchost.exe', 'pid': 3588}
{'username': None, 'name': 'SysInfoCap.exe', 'pid': 3596}
{'username': None, 'name': 'DiagsCap.exe', 'pid': 3604}
{'username': None, 'name': 'NetworkCap.exe', 'pid': 3612}
{'username': None, 'name': 'AppHelperCap.exe', 'pid': 3620}
{'username': None, 'name': 'TouchpointAnalyticsClientService.exe', 'pid': 3628}
{'username': None, 'name': 'csrss.exe', 'pid': 3760}
{'username': None, 'name': 'svchost.exe', 'pid': 3832}
{'username': None, 'name': 'hp-one-agent-service.exe', 'pid': 4088}
{'username': None, 'name': 'svchost.exe', 'pid': 4104}
{'username': 'LAPTOP\\NAVNATH', 'name': 'OpenConsole.exe', 'pid': 4128}
{'username': None, 'name': 'svchost.exe', 'pid': 4312}
{'username': 'LAPTOP\\NAVNATH', 'name': 'ShellExperienceHost.exe', 'pid': 4372}
{'username': None, 'name': 'svchost.exe', 'pid': 4388}
{'username': None, 'name': 'svchost.exe', 'pid': 4476}
{'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe', 'pid': 4512}
{'username': None, 'name': 'svchost.exe', 'pid': 4560}
{'username': None, 'name': 'svchost.exe', 'pid': 4664}
{'username': None, 'name': 'svchost.exe', 'pid': 4672}
{'username': None, 'name': 'svchost.exe', 'pid': 4716}
{'username': 'LAPTOP\\NAVNATH', 'name': 'conhost.exe', 'pid': 4768}
{'username': 'LAPTOP\\NAVNATH', 'name': 'conhost.exe', 'pid': 4832}
{'username': None, 'name': 'svchost.exe', 'pid': 4864}
{'username': None, 'name': 'svchost.exe', 'pid': 4868}
{'username': None, 'name': 'svchost.exe', 'pid': 4948}
{'username': None, 'name': 'svchost.exe', 'pid': 4984}
{'username': 'LAPTOP\\NAVNATH', 'name': 'conhost.exe', 'pid': 4992}
{'username': None, 'name': 'spoolsv.exe', 'pid': 5012}
{'username': None, 'name': 'svchost.exe', 'pid': 5048}
{'username': None, 'name': 'svchost.exe', 'pid': 5152}
{'username': None, 'name': 'svchost.exe', 'pid': 5288}
{'username': None, 'name': 'svchost.exe', 'pid': 5388}
{'username': None, 'name': 'svchost.exe', 'pid': 5456}
{'username': None, 'name': 'SECOMN64.exe', 'pid': 5464}
{'username': None, 'name': 'svchost.exe', 'pid': 5472}
