--------------------------------------------------------------------------------
Process info Logger: Mon Jun 10 14:30:13 2024
--------------------------------------------------------------------------------
Error: Exception occurred (schedulefun.<locals>.job_func() takes 0 positional arguments but 1 was given){'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'name': 'System Idle Process'}
{'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4, 'name': 'System'}
{'username': None, 'pid': 140, 'name': ''}
{'username': None, 'pid': 180, 'name': 'Registry'}
{'username': None, 'pid': 660, 'name': 'smss.exe'}
{'username': None, 'pid': 676, 'name': 'fontdrvhost.exe'}
{'username': None, 'pid': 696, 'name': 'csrss.exe'}
{'username': None, 'pid': 736, 'name': 'svchost.exe'}
{'username': None, 'pid': 1124, 'name': 'wininit.exe'}
{'username': None, 'pid': 1268, 'name': 'services.exe'}
{'username': None, 'pid': 1276, 'name': 'LsaIso.exe'}
{'username': None, 'pid': 1300, 'name': 'lsass.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 1364, 'name': 'SECOCL64.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 1420, 'name': 'Code.exe'}
{'username': None, 'pid': 1428, 'name': 'svchost.exe'}
{'username': None, 'pid': 1460, 'name': 'fontdrvhost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 1516, 'name': 'unsecapp.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 1544, 'name': 'Code.exe'}
{'username': None, 'pid': 1568, 'name': 'svchost.exe'}
{'username': None, 'pid': 1612, 'name': 'svchost.exe'}
{'username': None, 'pid': 1784, 'name': 'svchost.exe'}
{'username': None, 'pid': 1864, 'name': 'svchost.exe'}
{'username': None, 'pid': 1872, 'name': 'svchost.exe'}
{'username': None, 'pid': 1884, 'name': 'svchost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 1972, 'name': 'HPSystemEventUtilityHost.exe'}
{'username': None, 'pid': 2036, 'name': 'svchost.exe'}
{'username': None, 'pid': 2068, 'name': 'svchost.exe'}
{'username': None, 'pid': 2080, 'name': 'svchost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 2092, 'name': 'msedge.exe'}
{'username': None, 'pid': 2120, 'name': 'svchost.exe'}
{'username': None, 'pid': 2132, 'name': 'svchost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 2160, 'name': 'svchost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 2164, 'name': 'svchost.exe'}
{'username': None, 'pid': 2244, 'name': 'svchost.exe'}
{'username': None, 'pid': 2260, 'name': 'svchost.exe'}
{'username': None, 'pid': 2264, 'name': 'MoUsoCoreWorker.exe'}
{'username': None, 'pid': 2292, 'name': 'svchost.exe'}
{'username': None, 'pid': 2488, 'name': 'svchost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 2492, 'name': 'brave.exe'}
{'username': None, 'pid': 2500, 'name': 'svchost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 2540, 'name': 'RuntimeBroker.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 2552, 'name': 'ctfmon.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 2708, 'name': 'ApplicationFrameHost.exe'}
{'username': None, 'pid': 2804, 'name': 'svchost.exe'}
{'username': None, 'pid': 2840, 'name': 'svchost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 2852, 'name': 'msedge.exe'}
{'username': None, 'pid': 2872, 'name': 'svchost.exe'}
{'username': None, 'pid': 2924, 'name': 'svchost.exe'}
{'username': None, 'pid': 2964, 'name': 'svchost.exe'}
{'username': None, 'pid': 2984, 'name': 'svchost.exe'}
{'username': None, 'pid': 3004, 'name': 'OmenCap.exe'}
{'username': None, 'pid': 3088, 'name': 'svchost.exe'}
{'username': None, 'pid': 3096, 'name': 'NVDisplay.Container.exe'}
{'username': None, 'pid': 3204, 'name': 'svchost.exe'}
{'username': None, 'pid': 3244, 'name': 'svchost.exe'}
